shoving capacity,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
motile：matrix mass ratio=1:1,1.01821820754513E+00,1.02897578269224E+00,1.02207328850305E+00,1.11036402560221E+00,1.15543946068359E+00,1.15958997408707E+00,1.2043185571076E+00,1.26070657862402E+00,1.26637325239591E+00,1.2817807510869E+00,1.29572966763277E+00,1.29768591017969E+00,1.304428617421E+00,1.36622678133719E+00,1.37105174930171E+00,1.36657747912492E+00,1.37756525598058E+00,1.39179925200398E+00,1.39775886545095E+00,1.41486684033291E+00
motile：matrix mass ratio=1:2,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.02710285247796E+00,1.03523145660496E+00,1.04564008663723E+00,1.12172591387445E+00,1.14175035022053E+00,1.13744205213524E+00,1.17283134458096E+00,1.20716054137229E+00,1.25633705772037E+00,1.26091506711842E+00,1.29371668424508E+00,1.26030790943356E+00,1.28257346096227E+00,1.29318365447851E+00,1.31051081747126E+00,1.30847965662621E+00,1.33186603765654E+00
motile：matrix mass ratio=1:3,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.02399863274341E+00,1.00785892897856E+00,1.02569244818972E+00,1.07900539059704E+00,1.14118643550266E+00,1.14339015941899E+00,1.15204798723563E+00,1.1705416933113E+00,1.1990864496483E+00,1.23361322772357E+00,1.26773385453506E+00,1.27154675098561E+00,1.27245361825325E+00,1.31089568782784E+00,1.28030151975113E+00
motile：matrix mass ratio=1:5,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.02052813176776E+00,1.00998723260001E+00,9.9499998880443E-01,1.05294182322064E+00,1.10220395997588E+00,1.1219075646318E+00,1.14377808701134E+00,1.15528723455896E+00,1.13754363343368E+00,1.1616913150439E+00,1.16812560749652E+00
motile：matrix mass ratio=1:10,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.00479261452211E+00
motile：matrix mass ratio=1:100,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00,1.01821820754513E+00
